Index,Situation,Market Decision
00000,00000,Long
00001,00001,Long
00002,00002,Short
00010,00010,Long
00011,00011,Long
00012,00012,Out
00020,00020,Long
00021,00021,Short
00022,00022,Long
00100,00100,Long
00101,00101,Long
00102,00102,Long
00110,00110,Long
00111,00111,Short
00112,00112,Out
00120,00120,Short
00121,00121,Long
00122,00122,Short
00200,00200,Long
00201,00201,Long
00202,00202,Short
00210,00210,Short
00211,00211,Short
00212,00212,Out
00220,00220,Short
00221,00221,Out
00222,00222,Out
01000,01000,Long
01001,01001,Long
01002,01002,Long
01010,01010,Long
01011,01011,Long
01012,01012,Long
01020,01020,Short
01021,01021,Short
01022,01022,Out
01100,01100,Short
01101,01101,Long
01102,01102,Long
01110,01110,Long
01111,01111,Long
01112,01112,Long
01120,01120,Long
01121,01121,Long
01122,01122,Short
01200,01200,Long
01201,01201,Short
01202,01202,Short
01210,01210,Short
01211,01211,Long
01212,01212,Out
01220,01220,Short
01221,01221,Short
01222,01222,Short
02000,02000,Short
02001,02001,Long
02002,02002,Long
02010,02010,Out
02011,02011,Out
02012,02012,Long
02020,02020,Short
02021,02021,Out
02022,02022,Short
02100,02100,Long
02101,02101,Out
02102,02102,Long
02110,02110,Short
02111,02111,Out
02112,02112,Out
02120,02120,Out
02121,02121,Short
02122,02122,Short
02200,02200,Long
02201,02201,Short
02202,02202,Out
02210,02210,Out
02211,02211,Long
02212,02212,Long
02220,02220,Long
02221,02221,Out
02222,02222,Short
10000,10000,Long
10001,10001,Short
10002,10002,Short
10010,10010,Short
10011,10011,Long
10012,10012,Long
10020,10020,Long
10021,10021,Short
10022,10022,Long
10100,10100,Long
10101,10101,Long
10102,10102,Out
10110,10110,Short
10111,10111,Short
10112,10112,Long
10120,10120,Short
10121,10121,Short
10122,10122,Out
10200,10200,Short
10201,10201,Short
10202,10202,Short
10210,10210,Short
10211,10211,Short
10212,10212,Short
10220,10220,Long
10221,10221,Short
10222,10222,Long
11000,11000,Long
11001,11001,Long
11002,11002,Long
11010,11010,Short
11011,11011,Short
11012,11012,Short
11020,11020,Long
11021,11021,Long
11022,11022,Out
11100,11100,Long
11101,11101,Long
11102,11102,Long
11110,11110,Long
11111,11111,Short
11112,11112,Long
11120,11120,Short
11121,11121,Short
11122,11122,Short
11200,11200,Long
11201,11201,Long
11202,11202,Short
11210,11210,Short
11211,11211,Long
11212,11212,Out
11220,11220,Short
11221,11221,Out
11222,11222,Long
12000,12000,Long
12001,12001,Short
12002,12002,Short
12010,12010,Out
12011,12011,Out
12012,12012,Out
12020,12020,Long
12021,12021,Short
12022,12022,Short
12100,12100,Out
12101,12101,Out
12102,12102,Out
12110,12110,Long
12111,12111,Long
12112,12112,Out
12120,12120,Out
12121,12121,Out
12122,12122,Long
12200,12200,Long
12201,12201,Short
12202,12202,Out
12210,12210,Out
12211,12211,Long
12212,12212,Out
12220,12220,Long
12221,12221,Short
12222,12222,Short
20000,20000,Long
20001,20001,Short
20002,20002,Long
20010,20010,Short
20011,20011,Short
20012,20012,Long
20020,20020,Short
20021,20021,Out
20022,20022,Out
20100,20100,Out
20101,20101,Long
20102,20102,Long
20110,20110,Out
20111,20111,Short
20112,20112,Long
20120,20120,Long
20121,20121,Long
20122,20122,Long
20200,20200,Long
20201,20201,Long
20202,20202,Short
20210,20210,Out
20211,20211,Long
20212,20212,Out
20220,20220,Out
20221,20221,Out
20222,20222,Out
21000,21000,Short
21001,21001,Short
21002,21002,Out
21010,21010,Long
21011,21011,Long
21012,21012,Short
21020,21020,Short
21021,21021,Out
21022,21022,Long
21100,21100,Out
21101,21101,Long
21102,21102,Out
21110,21110,Short
21111,21111,Short
21112,21112,Out
21120,21120,Short
21121,21121,Short
21122,21122,Long
21200,21200,Out
21201,21201,Short
21202,21202,Long
21210,21210,Long
21211,21211,Out
21212,21212,Long
21220,21220,Out
21221,21221,Out
21222,21222,Out
22000,22000,Out
22001,22001,Long
22002,22002,Long
22010,22010,Short
22011,22011,Out
22012,22012,Short
22020,22020,Short
22021,22021,Out
22022,22022,Out
22100,22100,Short
22101,22101,Out
22102,22102,Out
22110,22110,Short
22111,22111,Short
22112,22112,Long
22120,22120,Out
22121,22121,Long
22122,22122,Long
22200,22200,Short
22201,22201,Out
22202,22202,Long
22210,22210,Long
22211,22211,Short
22212,22212,Out
22220,22220,Long
22221,22221,Out
22222,22222,Long
