,Date,Closing Day Market Value,Stay or Change Decision,Market Decision,Current Portfolio Value,Current Draw Down,Under/Over EMA,Under/Over EMA Rates,One Day Yield,Two Day Yield,Three Day Yield
0,1/2/1962,70.959999,Change,Long,10000,0.0,,,Equal,Equal,Equal
1,1/3/1962,71.129997,Change,Short,10023.95687745148,0.0,Over,Under,Equal,Equal,Equal
2,1/4/1962,70.639999,Stay,Short,10093.009584174319,0.0,Under,Under,Up,Equal,Equal
3,1/5/1962,69.660004,Stay,Short,10231.114856695533,0.0,Under,Under,Down,Down,Equal
4,1/8/1962,69.120003,Change,Long,10307.214209515423,0.0,Under,Under,Down,Down,Down
5,1/9/1962,69.150002,Stay,Long,10311.687677479124,0.0,Under,Under,Down,Down,Down
6,1/10/1962,68.959999,Stay,Long,10283.35432191705,-0.27476933406307413,Under,Under,Up,Down,Down
7,1/11/1962,69.370003,Stay,Long,10344.494351884325,0.0,Under,Under,Down,Down,Down
8,1/12/1962,69.610001,Change,Short,10380.282990317331,0.0,Under,Under,Up,Up,Up
9,1/15/1962,69.470001,Stay,Short,10401.159870043917,0.0,Under,Over,Up,Up,Up
10,1/16/1962,69.07,Change,Long,10460.808246954728,0.0,Under,Over,Down,Up,Up
11,1/17/1962,68.32,Stay,Long,10347.219044910193,-1.0858549297813824,Under,Over,Down,Down,Down
12,1/18/1962,68.389999,Stay,Long,10357.820552315416,-0.9845099174750072,Under,Over,Down,Down,Down
13,1/19/1962,68.75,Stay,Long,10412.343520749062,-0.4632981033733663,Under,Over,Up,Down,Down
14,1/22/1962,68.809998,Change,Short,10421.430354008084,-0.3764326046040267,Under,Over,Up,Up,Down
15,1/23/1962,68.290001,Stay,Short,10500.185079735484,0.0,Under,Over,Up,Up,Up
16,1/24/1962,68.400002,Change,Long,10483.525178650018,-0.1586629279289431,Under,Over,Down,Down,Down
17,1/25/1962,68.349998,Stay,Long,10475.861170204034,-0.23165219800165282,Under,Over,Up,Down,Down
18,1/26/1962,68.129997,Change,Short,10442.142077288976,-0.5527807558223574,Under,Over,Down,Up,Down
19,1/29/1962,67.900002,Change,Long,10477.39292967146,-0.217064269733791,Under,Over,Down,Down,Down
20,1/30/1962,68.169998,Stay,Long,10519.05499297213,0.0,Under,Over,Down,Down,Down
21,1/31/1962,68.839996,Change,Short,10622.439854552751,0.0,Under,Over,Up,Up,Down
22,2/1/1962,69.260002,Stay,Short,10557.630314564525,-0.610119152243993,Under,Over,Up,Up,Up
23,2/2/1962,69.809998,Stay,Short,10472.762508496604,-1.4090674845477769,Under,Over,Up,Up,Up
24,2/5/1962,69.879997,Stay,Short,10461.961227111013,-1.5107511046340005,Under,Over,Up,Up,Up
25,2/6/1962,69.959999,Stay,Short,10449.616420565064,-1.6269655216133327,Under,Over,Up,Up,Up
26,2/7/1962,70.419998,Stay,Short,10378.635711753655,-2.2951802611958505,Under,Over,Up,Up,Up
27,2/8/1962,70.580002,Stay,Short,10353.94609866176,-2.5276090951544927,Under,Over,Up,Up,Up
28,2/9/1962,70.480003,Stay,Short,10369.376566772411,-2.3823461581839678,Under,Over,Up,Up,Up
29,2/12/1962,70.459999,Change,Long,10372.463308480683,-2.3532874696854944,Under,Over,Down,Up,Up
30,2/13/1962,70.449997,Change,Short,10370.990907409383,-2.367148702052646,Under,Over,Down,Down,Up
31,2/14/1962,70.419998,Change,Long,10375.407080148629,-2.3255747058736675,Under,Under,Down,Down,Down
32,2/15/1962,70.739998,Stay,Long,10422.554628571557,-1.881726126182992,Under,Under,Down,Down,Down
33,2/16/1962,70.589996,Change,Short,10400.453920576132,-2.089782921966621,Under,Under,Up,Up,Up
34,2/19/1962,70.410004,Change,Long,10426.97323787532,-1.8401291921051,Over,Under,Down,Up,Up
35,2/20/1962,70.660004,Stay,Long,10463.995580743938,-1.4915996322719005,Over,Under,Down,Down,Down
36,2/21/1962,70.32,Stay,Long,10413.644602085129,-1.965605410118021,Over,Under,Up,Up,Down
37,2/23/1962,70.160004,Stay,Long,10389.9508950067,-2.1886587519383105,Over,Under,Down,Down,Down
38,2/26/1962,69.760002,Stay,Long,10330.714850238166,-2.746308835907907,Over,Under,Down,Down,Down
39,2/27/1962,69.889999,Stay,Long,10349.966024261734,-2.565077647149361,Over,Under,Down,Down,Down
40,2/28/1962,69.959999,Change,Short,10360.332280264947,-2.4674893703960588,Over,Under,Up,Down,Down
41,3/1/1962,70.199997,Change,Long,10324.791127289816,-2.802074959599443,Over,Under,Up,Up,Down
42,3/2/1962,70.160004,Stay,Long,10318.909084708623,-2.8574487029365048,Over,Under,Up,Up,Up
43,3/5/1962,70.010002,Stay,Long,10296.847270109462,-3.065139355001778,Over,Under,Down,Up,Up
44,3/6/1962,69.779999,Stay,Long,10263.019164195866,-3.3835982625294636,Over,Under,Down,Down,Up
45,3/7/1962,69.690002,Stay,Long,10249.782693158942,-3.508206838507899,Under,Under,Down,Down,Down
46,3/8/1962,70.190002,Stay,Long,10323.321094644129,-2.815913895529576,Over,Under,Down,Down,Down
47,3/9/1962,70.419998,Stay,Long,10357.148171020104,-2.4974646801030675,Over,Under,Up,Up,Up
48,3/12/1962,70.400002,Stay,Long,10354.207223267907,-2.5251508594786753,Over,Under,Up,Up,Up
49,3/13/1962,70.599998,Stay,Long,10383.62199555477,-2.2482392206308877,Over,Under,Down,Up,Up
50,3/14/1962,70.910004,Stay,Long,10429.216686936403,-1.819009288469009,Over,Under,Up,Up,Up
