,Date,Open,High,Low,Close,Fifty_EMA,Twenty_EMA,Under/Over EMA,One_day_yield,Two_day_yield,Three_day_yield
0,1/2/1962,71.550003,71.959999,70.709999,70.959999,70.959999,70.959999,,Equal,Equal,Equal
1,1/3/1962,70.959999,71.480003,70.379997,71.129997,70.9666655882353,70.97618928571428,Over,Equal,Equal,Equal
2,1/4/1962,71.129997,71.620003,70.449997,70.639999,70.9538551337947,70.94417116326531,Under,Up,Equal,Equal
3,1/5/1962,70.639999,70.839996,69.349998,69.660004,70.90311587364589,70.82186952866861,Under,Down,Down,Equal
4,1/8/1962,69.660004,69.839996,68.169998,69.120003,70.83318987860095,70.65978700212875,Under,Down,Down,Down
5,1/9/1962,69.120003,69.93,68.830002,69.150002,70.76718251081267,70.51599795430697,Under,Down,Down,Down
6,1/10/1962,69.150002,69.580002,68.620003,68.959999,70.69631256921217,70.3678075777063,Under,Up,Down,Down
7,1/11/1962,68.959999,69.540001,68.57,69.370003,70.64430042924306,70.2727785703057,Under,Down,Down,Down
8,1/12/1962,69.370003,70.169998,69.230003,69.610001,70.60373966731196,70.20965689694326,Under,Up,Up,Up
9,1/15/1962,69.610001,69.959999,69.059998,69.470001,70.55927932741737,70.13921347818676,Under,Up,Up,Up
10,1/16/1962,69.470001,69.610001,68.68,69.07,70.50087621653826,70.03738362312136,Under,Down,Up,Up
11,1/17/1962,69.07,69.309998,68.129997,68.32,70.41535165902695,69.87382327806218,Under,Down,Down,Down
12,1/18/1962,68.32,68.730003,67.75,68.389999,70.33592606455531,69.73250668015149,Under,Down,Down,Down
13,1/19/1962,68.389999,70.080002,68.139999,68.75,70.27373288555314,69.63893461537515,Under,Up,Down,Down
14,1/22/1962,68.75,69.370003,68.449997,68.809998,70.21633151749225,69.5599882710537,Under,Up,Up,Down
15,1/23/1962,68.809998,68.959999,68.0,68.290001,70.14078914425727,69.43903710238192,Under,Up,Up,Up
16,1/24/1962,68.290001,68.68,67.550003,68.400002,70.07252298173738,69.34008137834554,Under,Down,Down,Down
17,1/25/1962,68.400002,69.050003,68.099998,68.349998,70.00497298245355,69.24578772326501,Under,Up,Down,Down
18,1/26/1962,68.349998,68.669998,67.830002,68.129997,69.93144451255341,69.13952194009691,Under,Down,Up,Down
19,1/29/1962,68.129997,68.5,67.550003,67.900002,69.85178010029642,69.02147242199244,Under,Down,Down,Down
20,1/30/1962,67.900002,68.650002,67.620003,68.169998,69.78582786106912,68.94037961989793,Under,Down,Down,Down
21,1/31/1962,68.169998,69.089996,68.120003,68.839996,69.748736415537,68.93081927514575,Under,Up,Up,Down
22,2/1/1962,68.839996,69.650002,68.559998,69.260002,69.72957036002575,68.96217001084615,Under,Up,Up,Up
23,2/2/1962,69.260002,70.019997,69.019997,69.809998,69.73272438512278,69.0429155336227,Under,Up,Up,Up
24,2/5/1962,69.809998,70.300003,69.419998,69.879997,69.73849978178464,69.12263757803959,Under,Up,Up,Up
25,2/6/1962,69.879997,70.32,69.410004,69.959999,69.74718602563622,69.20238628489295,Under,Up,Up,Up
26,2/7/1962,69.959999,70.669998,69.779999,70.419998,69.77357080894461,69.31834930537934,Under,Up,Up,Up
27,2/8/1962,70.419998,70.949997,70.160004,70.580002,69.80519556153502,69.43850670486702,Under,Up,Up,Up
28,2/9/1962,70.580002,70.830002,69.93,70.480003,69.83165859833757,69.53769682821302,Under,Up,Up,Up
29,2/12/1962,70.480003,70.809998,70.139999,70.459999,69.85629939840275,69.62553513028797,Under,Down,Up,Up
30,2/13/1962,70.459999,70.889999,70.07,70.449997,69.87958165728892,69.70405530835578,Under,Down,Down,Up
31,2/14/1962,70.449997,70.790001,70.029999,70.419998,69.90077445504231,69.7722403266076,Under,Down,Down,Down
32,2/15/1962,70.419998,71.059998,70.230003,70.739998,69.93368518229555,69.86440772407354,Under,Down,Down,Down
33,2/16/1962,70.739998,71.129997,70.269997,70.589996,69.95942286142122,69.93351136939987,Under,Up,Up,Up
34,2/19/1962,70.589996,70.959999,70.120003,70.410004,69.97709270999293,69.97889161993322,Over,Down,Up,Up
35,2/20/1962,70.410004,70.910004,70.129997,70.660004,70.00387354489517,70.04375946565386,Over,Down,Down,Down
36,2/21/1962,70.660004,70.970001,70.120003,70.32,70.01627066078163,70.07006808797254,Over,Up,Up,Down
37,2/23/1962,70.32,70.57,69.730003,70.160004,70.0219072623196,70.07863341292754,Over,Down,Down,Down
38,2/26/1962,70.160004,70.330002,69.440002,69.760002,70.01163646771883,70.0482875640773,Over,Down,Down,Down
39,2/27/1962,69.760002,70.32,69.480003,69.889999,70.00686637094554,70.0332124627366,Over,Down,Down,Down
40,2/28/1962,69.889999,70.419998,69.57,69.959999,70.00502843483004,70.02623975199978,Over,Up,Down,Down
41,3/1/1962,69.959999,70.599998,69.760002,70.199997,70.01267426091513,70.04278806133314,Over,Up,Up,Down
42,3/2/1962,70.160004,70.160004,69.75,70.160004,70.01845189774198,70.05395148406332,Over,Up,Up,Up
43,3/5/1962,70.160004,70.480003,69.650002,70.010002,70.01812052920309,70.04976581891444,Over,Down,Up,Up
44,3/6/1962,70.010002,70.239998,69.459999,69.779999,70.00878243001866,70.02407374092259,Over,Down,Down,Up
45,3/7/1962,69.779999,70.07,69.370003,69.690002,69.9962812366846,69.99225738464425,Under,Down,Down,Down
46,3/8/1962,69.690002,70.370003,69.400002,70.190002,70.00387812936363,70.01109020515432,Over,Down,Down,Down
47,3/9/1962,70.190002,70.709999,70.0,70.419998,70.0201965556631,70.05003380466343,Over,Up,Up,Up
48,3/12/1962,70.419998,70.760002,70.019997,70.400002,70.03509088681358,70.0833641089812,Over,Up,Up,Up
49,3/13/1962,70.400002,70.860001,70.059998,70.599998,70.05724410693854,70.13256733669728,Over,Down,Up,Up
50,3/14/1962,70.599998,71.25,70.480003,70.910004,70.09068567137233,70.20660892367849,Over,Up,Up,Up
51,3/15/1962,70.910004,71.440002,70.589996,71.059998,70.1286979195538,70.28788407380435,Over,Up,Up,Up
52,3/16/1962,71.059998,71.339996,70.669998,70.940002,70.1605137658458,70.34999054296584,Over,Up,Up,Up
53,3/19/1962,70.940002,71.309998,70.529999,70.849998,70.18755236326362,70.39761030077862,Over,Down,Up,Up
54,3/20/1962,70.849998,71.080002,70.400002,70.660004,70.20607987842976,70.42260017689495,Over,Down,Down,Down
55,3/21/1962,70.660004,70.93,70.160004,70.510002,70.21799839300114,70.43092416004781,Over,Down,Down,Down
56,3/22/1962,70.510002,70.839996,70.139999,70.400002,70.22513578935404,70.4279791924242,Over,Down,Down,Down
57,3/23/1962,70.400002,70.779999,70.120003,70.449997,70.23395387604604,70.43007612647904,Over,Down,Down,Down
58,3/26/1962,70.449997,70.629997,69.730003,69.889999,70.22046544953444,70.37864020967152,Over,Up,Down,Down
59,3/27/1962,69.889999,70.199997,69.410004,69.699997,70.20005492210171,70.31400752303612,Over,Down,Down,Down
60,3/28/1962,69.699997,70.330002,69.540001,70.040001,70.19377829770556,70.28791166369935,Over,Down,Down,Down
61,3/29/1962,70.040001,70.5,69.809998,70.010002,70.18657138407005,70.26144407668036,Over,Up,Up,Down
62,3/30/1962,70.010002,70.089996,69.160004,69.550003,70.16160791802808,70.19368778366318,Over,Down,Up,Up
63,4/2/1962,69.550003,69.82,69.129997,69.370003,70.13056458790933,70.1152416137905,Under,Down,Down,Down
64,4/3/1962,69.370003,69.529999,68.529999,68.809998,70.07877766289329,69.99093269819141,Under,Down,Down,Down
65,4/4/1962,68.809998,69.220001,68.330002,68.489998,70.01647257807394,69.8479865364589,Under,Down,Down,Down
66,4/5/1962,68.489998,69.089996,68.120003,68.910004,69.97308165344359,69.75865486631996,Under,Down,Down,Down
67,4/6/1962,68.910004,69.419998,68.580002,68.839996,69.928646921936,69.67116354571806,Under,Up,Up,Down
68,4/9/1962,68.839996,69.019997,68.089996,68.309998,69.86517049362477,69.54152873184015,Under,Down,Up,Up
69,4/10/1962,68.309998,68.800003,67.940002,68.559998,69.81398725858067,69.44804961452203,Under,Down,Down,Down
70,4/11/1962,68.559998,69.260002,68.239998,68.410004,69.7589290915775,69.3491881274247,Under,Up,Down,Down
71,4/12/1962,68.410004,68.43,67.470001,67.900002,69.68602998994702,69.2111704010033,Under,Down,Up,Down
72,4/13/1962,67.900002,68.110001,67.029999,67.900002,69.61598967661577,69.08629721995537,Under,Down,Down,Down
73,4/16/1962,67.900002,68.190002,67.209999,67.599998,69.53693117949358,68.94474491329295,Under,Equal,Down,Down
74,4/17/1962,67.599998,68.199997,67.239998,67.900002,69.47273787833697,68.84524558821744,Under,Down,Down,Down
75,4/18/1962,67.900002,68.720001,67.830002,68.269997,69.42557156938258,68.79046000838721,Under,Up,Equal,Equal
76,4/19/1962,68.269997,68.900002,68.07,68.589996,69.39280389999503,68.77136819806462,Under,Up,Up,Up
77,4/23/1962,68.589996,69.010002,68.169998,68.529999,69.35896841372072,68.7483806553918,Under,Up,Up,Up
78,4/24/1962,68.529999,68.910004,68.160004,68.459999,69.32371471122187,68.72091573583067,Under,Down,Up,Up
79,4/25/1962,68.459999,68.580002,67.529999,67.709999,69.26043174215434,68.62463795146584,Under,Down,Down,Up
80,4/26/1962,67.709999,67.970001,66.919998,67.050003,69.17374826206985,68.4746727179929,Under,Down,Down,Down
81,4/27/1962,67.050003,67.610001,65.989998,66.300003,69.06105236943966,68.2675613162793,Under,Down,Down,Down
82,4/30/1962,66.300003,66.900002,64.949997,65.239998,68.91120710004988,67.97922195282413,Under,Down,Down,Down
83,5/1/1962,65.239998,65.940002,63.759998,65.699997,68.78527729220478,67.76215290969803,Under,Down,Down,Down
84,5/2/1962,65.699997,66.669998,65.559998,65.989998,68.67565849643204,67.59337625163155,Under,Up,Down,Down
85,5/3/1962,65.989998,66.93,65.809998,66.529999,68.59151498676803,67.49210222766663,Under,Up,Up,Down
86,5/4/1962,66.529999,66.800003,65.800003,66.239998,68.49929863434576,67.3728542059841,Under,Up,Up,Up
87,5/7/1962,66.239998,66.559998,65.660004,66.019997,68.40207111927339,67.24401066255705,Under,Down,Up,Up
88,5/8/1962,66.019997,66.129997,64.879997,65.169998,68.27532315381168,67.04648564707541,Under,Down,Down,Up
89,5/9/1962,65.169998,65.169998,64.019997,64.260002,68.1178595791524,66.78110625211585,Under,Down,Down,Down
90,5/10/1962,64.260002,64.389999,62.990002,63.57,67.93951214467585,66.47528660905719,Under,Down,Down,Down
91,5/11/1962,63.57,64.099998,62.439999,62.650002,67.7320803742964,66.11097378914698,Under,Down,Down,Down
